Source,Target,type_of_content
lexxstones,lexxstones,Tweet
LouiseM1ere,JxhnBinder,Retweet
MsgGian,menu_tyagi,Retweet
CN_wire,CN_wire,Reply
BPinDC,NormOrnstein,Reply
BPinDC,NormOrnstein,Mention
realchaudhary16,bsindia,Retweet
lpolgreen,KBAndersen,Retweet
Speedthrills2,SBSNews,Retweet
Zikalasa1,Zikalasa1,Tweet
Brochtte,KamVTV,Retweet
infopobn,infopobn,Tweet
seyisnr,todayng,Retweet
Latina4freedom,Latina4freedom,Retweet
metinniki,RT_com,Retweet
jmgoldmann,jonathanvswan,Retweet
FowleCatherine,Khanoisseur,Retweet
44Swed,jaketapper,Retweet
GimmeObama,realDonaldTrump,Reply
GimmeObama,realDonaldTrump,Mention
DanielQ25827174,BreitbartNews,Retweet
plezurluvr,jimsciutto,Retweet
RoweTeefortin,aroseblush,Retweet
JD05Ins,JackPosobiec,Retweet
PeakToil,ByMikeBaker,Retweet
BeatClem,BeatClem,Reply
amitjhasaharsa,AskAnshul,Retweet
LeftInTexasPod,scottbraddock,Retweet
cmarkerm,JoeNBC,Retweet
Kobe42534493,revmahoney,Retweet
SmallTimePotato,jimsciutto,Retweet
landonkey31,ddale8,Retweet
Mak_Canada,JuliaDavisNews,Retweet
2_vexed,ABC7Amarillo,Retweet
Yogeshrode5,Yogeshrode5,Tweet
g_mahendru,firstpost,Retweet
QuattlebaumLisa,JoieLovesJax,Retweet
CurmudgeonCD21,ryanstruyk,Retweet
CurmudgeonCD21,CNN,Mention
maki215,carolynryan,Retweet
WWhitness,ElizabethReilly,Retweet
branicole,Breaking911,Retweet
PegsCooley,RBReich,Retweet
bettyb00p00,dwnews,Retweet
KristaWriter,MarshaBlackburn,Retweet
beth4158,ryanstruyk,Retweet
beth4158,CNN,Mention
PDrabes,LorraineAli,Retweet
SpecHematite,karen_erotoo1,Retweet
SpecHematite,SpeakerPelosi,Mention
BarbieTweetings,03Ginevra,Retweet
Montaec_,chrisjollyhale,Retweet
AdelineIona,WhiteHouse,Retweet
AdelineIona,realDonaldTrump,Mention
ie_emilie,fred_guttenberg,Retweet
lovebensolo,j7eon,Retweet
VernaPolitics,PoliticsReid,Retweet
ssnaqi,JoeBorelliNYC,Retweet
patel0phone,JerryFalwellJr,Mention
williegmark,GOPChairwoman,Retweet
Hortonhearsnone,TobiRachel_,Retweet
pcakes3636,ABC,Retweet
pcakes3636,mattgutmanABC,Mention
cuestas_esther,realDonaldTrump,Retweet
mckinlay_liz,BetteMidler,Retweet
SafeLibraries,JackPosobiec,Retweet
Scratch76916855,chrisjollyhale,Retweet
william_chenbkk,Breaking911,Retweet
bbwalton_walton,GregAbbott_TX,Retweet
Judyfra98712441,kylegriffin1,Retweet
HongkongerMatt,usssnonichijyou,Retweet
p_jaikumar,p_jaikumar,Tweet
LucPicat,JoeBorelliNYC,Retweet
beatriz312,Yamiche,Retweet
larbymx,Amy_GuthrieDF,Retweet
springssailor,GOPChairwoman,Retweet
Jcv1122M,SenTomCotton,Retweet
SFormosoMIA,SFormosoMIA,Tweet
EsotericFrogGod,TomFitton,Retweet
EsotericFrogGod,DrJeffColyer,Mention
dumbAssOkie,FishAlexander,Retweet
dumbAssOkie,mitchellvii,Mention
Christo84801994,charliekirk11,Retweet
Debfrederick561,WayneDupreeShow,Retweet
rojo2k,David_Leavitt,Retweet
robert_hove,fred_guttenberg,Retweet
WS57270049,HKrassenstein,Retweet
Nashnas13,googlenews,Mention
noemimerls,j7eon,Retweet
Wahrhaftig,Cruellaisdevine,Retweet
scoutfinch2271,DavidLat,Retweet
janetwa74284638,RealCandaceO,Retweet
shareitarie10,rena_korb,Retweet
SBNOLAborn,JackPosobiec,Retweet
Letsfixit2019,SpencerFernando,Retweet
ClancyDew,ryanstruyk,Retweet
ClancyDew,CNN,Mention
Germanchick1973,TeamTrump,Retweet
Germanchick1973,JDiamond1,Mention
Germanchick1973,realDonaldTrump,Mention
jen_myPsalms182,JackPosobiec,Retweet
J_hawks13,jeremyherb,Retweet
lmramey,CABRAXAS10,Retweet
JoseMSa94150189,ccocogreen,Retweet
JournalofaJohn,MimiReeds,Retweet
stasiam_,rachelbnolan,Retweet
redfaunn777,redfaunn777,Tweet
eyridis,AndrewBatesNC,Retweet
AnnieMartin5353,joncoopertweets,Retweet
Jasminesmileyy,ndtv,Retweet
selen_erdem,UniofOxford,Retweet
mayleechai,The_Japan_News,Retweet
MsPrissPhred,joncoopertweets,Retweet
Mandylou1958,IngrahamAngle,Retweet
JiNNiE_3,JiNNiE_3,Tweet
johnsmith8009,ezralevant,Retweet
Jamesb78902477,thejaskr,Reply
Jamesb78902477,thejaskr,Mention
Jamesb78902477,Chandra19990036,Mention
Jamesb78902477,SenatorDurbin,Mention
Jamesb78902477,SenMikeLee,Mention
Jamesb78902477,GCBCoalition,Mention
Jamesb78902477,SenateDems,Mention
Jamesb78902477,SenateGOP,Mention
Jamesb78902477,MichelleObama,Mention
esandeen,MCmuckraker,Retweet
Sirkiddy,jamessmat,Retweet
Crowebar_67,Church_POP,Retweet
Crowebar_67,CatholicTeeClub,Mention
chootchyface,chootchyface,Tweet
TChuggington,Mikel_Jollett,Retweet
kdiez99,ezridersos,Retweet
therockdawg,the_lbpodcast,Retweet
therockdawg,BertaAdvantage,Mention
therockdawg,the_lbpodcast,Mention
therockdawg,ricochet_en,Mention
amack8328,BobKarpDR,Retweet
c3y5000,tomselliott,Retweet
mojofire1,DavidLat,Retweet
LenayTatiana,aroseblush,Retweet
GeorginaIry,NewsDrewWIS,Retweet
RDSharm91052874,Gurmeetramrahim,Mention
RDSharm91052874,derasachasauda,Mention
zyhra,IngrahamAngle,Retweet
Dartemus,TobiRachel_,Retweet
Travlr58,WayneDupreeShow,Retweet
Craigrm5,FZirm,Retweet
theofficialwhit,chrisjollyhale,Retweet
Hashimsidig,David_Leavitt,Retweet
ayeeitzalexx,brown_skin_rose,Retweet
SBS,SBSNews,Retweet
im_sumit_verma,SirNetanyahu,Retweet
white_jones33,ggreenwald,Retweet
white_jones33,IChotiner,Mention
white_jones33,Slate,Mention
white_jones33,NewYorker,Mention
MagaNordic,love4thegameAK,Retweet
dejadanielle__,TobiRachel_,Retweet
SailorPsy,jimsciutto,Retweet
trumpysheadplug,ryanstruyk,Retweet
trumpysheadplug,CNN,Mention
SesshaBatto,NYTNational,Retweet
JHillport,ddale8,Retweet
xochi_x,veritasunknown1,Retweet
DitullioMary,rogerkver,Retweet
ShinhanShuichi,BNODesk,Retweet
joy2b360,chuckwoolery,Retweet
DamonParker1,charliekirk11,Retweet
KathleenMDanes,nypost,Mention
Jusretscpo,SethAbramson,Retweet
johnmstrouth,JackPosobiec,Retweet
BxEU4J,NYCGreenfield,Retweet
juunequuagraine,TobiRachel_,Retweet
r_middagh,HamillHimself,Retweet
GetShipWrekt,GetShipWrekt,Tweet
Republicisdead,tomselliott,Retweet
Republicisdead,SpeakerPelosi,Mention
patgill69033215,steve_c1970,Retweet
CaloLara,cnnbrk,Retweet
rwindrem,MaryMurrayNBC,Retweet
mommyyoung157,juliebosman,Retweet
theguru007,IamNurseTrish,Retweet
wesryantweets,lookner,Retweet
wesryantweets,ai6yrham,Mention
cat_joba,ReaganWorld,Retweet
kadajoza,KamVTV,Retweet
darkblackone,darkblackone,Tweet
ADRoy78296765,STcom,Retweet
jimmyduranluna,NatGeo,Retweet
Mr1738,iamtheFLYEST,Retweet
Mr1738,KeriHilson,Mention
susheelkbfi,nytpolitics,Retweet
drmlb,Yamiche,Retweet
drmlb,JDiamond1,Mention
semby24,ProfMJCleveland,Retweet
littleoldme_2,GregAbbott_TX,Retweet
LawrenceC_,lilbarbacoa_,Retweet
zulfiqarckt135,Sajid92325309,Retweet
Sandie79797427,pushforward40,Retweet
rshabazz,JoeBorelliNYC,Retweet
HenshinHead,NYDailyNews,Retweet
jolyro1,V_of_Europe,Retweet
nehdah,intheMatrixxx,Retweet
bellawoohoo,MarshaBlackburn,Retweet
jjsmaga7,IngrahamAngle,Retweet
real_Stephanie,NumbersMuncher,Retweet
katieKeys17,markmobility,Retweet
nickicarri,kylegriffin1,Retweet
Lahori_Bhaijaan,JuddLegum,Retweet
MeganMe61079108,j7eon,Retweet
dr_masooma,Jhagra,Retweet
jasonferrell,brianschatz,Retweet
SheraPrincessP,DocBear5,Retweet
golgiry,ezralevant,Retweet
TankieBankie,chrisjollyhale,Retweet
baalter,HyltonRobin,Retweet
baalter,POTUS,Mention
greg12664033,BillHagertyTN,Retweet
AmySperopTV,SCSSuptRay,Retweet
TheOtherYnnep,lindayueh,Retweet
kate_piffero,ByMikeBaker,Retweet
JT7504,rising_serpent,Retweet
JT7504,PlanetTyrus,Mention
JT7504,POTUS,Mention
JT7504,realDonaldTrump,Mention
Skreennaym,MAGA2ARIGHTS,Retweet
ElviaIglesias,DanielNewman,Retweet
BradKirby626,HKrassenstein,Retweet
macmomma123,JesseKellyDC,Retweet
Na_Oamal,MimiReeds,Retweet
bennettLee12,Battelle,Retweet
bennettLee12,Battelle,Mention
bennettLee12,WOSU,Mention
roripierpont1,intelligencer,Retweet
DrPoona24413755,Imamofpeace,Retweet
ThinSkinTrump,ryanstruyk,Retweet
ThinSkinTrump,CNN,Mention
700MHz,kylegriffin1,Retweet
StephieGilley,LutherBeckett,Reply
StephieGilley,LutherBeckett,Mention
Chessydee1,kayleighmcenany,Retweet
greenvergewoman,carolineplayle,Retweet
3L3V3NTH,Pervaizistan,Retweet
KdbugA,RealJamesWoods,Retweet
lumberjackwizrd,Mikel_Jollett,Retweet
DjJJofficial,AdamMilstein,Retweet
alicia45KAG,GmanFan45,Retweet
alicia45KAG,Inevitable_ET,Mention
alicia45KAG,Mediaite,Mention
alicia45KAG,Twitter,Mention
alicia45KAG,RudyGiuliani,Mention
PoddarNisha,news18dotcom,Retweet
MonicaKubesa,MysterySolvent,Retweet
TrinityTruth3,ClayTravis,Retweet
reebaker_,renoomokri,Retweet
christi47693590,BlasianDime,Retweet
mickmca32,PhilipObin,Retweet
smilezrus,JamesTodaroMD,Retweet
Duke38996116,Inevitable_ET,Retweet
Penny7091,UniteCountryPAC,Retweet
Penny7091,FoxNews,Mention
musings_mary,OnlyGod4ever,Retweet
bnhunter3273,SaraCarterDC,Retweet
bnhunter3273,toddstarnes,Mention
AmeeJack,Marathon__Ali,Retweet
99_rocket,NYTScience,Retweet
gschoppe,drewmagary,Retweet
gschoppe,IChotiner,Mention
rvoltz,rvoltz,Tweet
mollypriddy,jentaub,Retweet
caddiesRpeople2,jimsciutto,Retweet
724Best,LifeNewsHQ,Retweet
RMJewell,nbcchicago,Retweet
HenningHeine1,meaganmday,Retweet
pinnie99,pinnie99,Tweet
mjcaswell,ddale8,Retweet
KArshad13,scroll_in,Retweet
DaveTwaterfield,Trey_VonDinkis,Retweet
vxjoe,Surgeon_General,Retweet
MikeR2793,CaliaDomenico,Retweet
blu3cloak,blu3cloak,Tweet
WyKodie,catturd2,Retweet
Ginger7730W,ryanstruyk,Retweet
Ginger7730W,CNN,Mention
ERN_Malleyscrub,Sarah_Alice_X,Retweet
wiredx1,proxcee,Retweet
marcedavis,marcedavis,Tweet
KurtJ81,chrisjollyhale,Retweet
BiztheBuz,afshinrattansi,Retweet
RossMcleanSec,ianbremmer,Retweet
dav1dwh1te,keithboykin,Retweet
AmyChan30622915,HRF,Retweet
Len_Palajac,IngrahamAngle,Retweet
